location_name,location_type,address,description,location_image,latitude,longitude
Flask Lounge,Music Venue,117 Spring St,,https://creative-portland-api-dev.s3.amazonaws.com/Screen_Shot_2022_12_20_at_3_05_32_PM_7ae3c4656d.png,43.652961,-70.2624865
Fore River Gallery,Gallery,87 Market St,"Established in 2009, we are an artist run gallery showcasing the work we create.",https://creative-portland-api-dev.s3.amazonaws.com/A0_DDEF_5_C_F05_B_48_D0_A1_C5_3_AFA_86_E2_CDAA_d0e55a6dbd.jpeg,43.6583809,-70.2547806
Geno's,Music Venue,625 Congress St,"Geno’s Rock Club is the Legendary Portland, Maine Dive Bar, established in 1983. Geno's is open 7 days a week, striving to provide Maine with quality live music - featuring local and national touring acts of all genres, at affordable ticket prices. Cash Only For all booking and promotional inquiries, please e-mail: genosrockclub@gmail.com",https://creative-portland-api-dev.s3.amazonaws.com/Screen_Shot_2023_08_16_at_4_01_41_PM_a6194badc6.png,43.6537935,-70.2643928
Grant Wahlquist Gallery,Gallery,30 City Center 2nd Floor,,https://creative-portland-api-dev.s3.amazonaws.com/Screen_Shot_2023_02_23_at_3_05_27_PM_1bdf750ec2.png,43.6570957,-70.2578697
Greenhut Galleries,Gallery,146 Middle St,"Established in 1977, Greenhut Galleries is Portland, Maine’s oldest year-round gallery. Located in the heart of the historic Old Port district, Greenhut Galleries exhibits the work of Maine’s finest contemporary artists. Their main gallery features a rotating exhibition of work by all of their resident artists, while the back gallery features solo exhibitions. Both gallery shows are changed on a monthly basis. In addition to exhibits, they offer museum quality archival framing and will ship anywhere in the world.",https://creative-portland-api-dev.s3.amazonaws.com/Greenhut_Galleries_564ece3e7d.jpeg,43.658122,-70.253457
Maine House of Comedy,Misc,77 Free St,"Maine House of Comedy ""a funny place to call home"" established in 2022. In 2020 the pandemic sent Maine comedian Marcus Cardona back home from his 8 years in New York's comedy scene. Deciding to make the most of his situation and wanting to continue comedy lead to a partnership with Thompson's Point in producing the successful 11 time sold out outdoor comedy series Cabin Fever. From that success he caught the attention the nationwide franchise Don't Tell Comedy produce of secret comedy shows in unique locations leading to the collaboration with Free Street Restaurant and Bar in Downtown Portland as creative director of newly named Maine House of Comedy in tribute to the now closed Brooklyn House of Comedy where Marcus served as Assistant Manager. Now passing a year the venue has hosted specials of national headliners as well as developing local comedy talent. Come out to a show and see why so many comedians and Mainers have been calling Maine House of Comedy ""a funny place to call home""",https://creative-portland-api-dev.s3.amazonaws.com/mhoc_70e4d0f3fa.jpg,43.6559196,-70.2598581
Moss Gallleries,Gallery,100 Fore St Suite B,Fine art and contemporary art.,https://creative-portland-api-dev.s3.amazonaws.com/Drexler_1962_Front_53f1f22d78.jpg,43.6615664,-70.2464096
Museum of African Art & Culture,Museum,93 Elm St,"Portland’s Museum of African Culture, founded in 1998, specializes in Sub-Saharan African tribal art and culture. Changing exhibits also include art inspired by the African diaspora, and the museum's programs include music, storytelling, films, poetry, literature, healing ceremonies and other Sub-Saharan African cultural traditions. Collections include wooden masks, figures, textiles, household objects and tools. It was established in 1998 and, as of 2010, had over 1,500 pieces of art. It is the only museum in Northern New England devoted to African arts and culture.",https://creative-portland-api-dev.s3.amazonaws.com/Museum_of_African_Culture_06275247bb.jpeg,43.6594166,-70.2606799
One Longfellow Square,Event Venue,181 State St,,https://creative-portland-api-dev.s3.amazonaws.com/live_music_in_an_intimate_setting_at_one_longfellow_square_portland_maine_660x440_1_fb8a509ea4.jpg,43.6529339,-70.2664392
Pearl Gallery,Gallery,594 Congress St,"Pearl Gallery, located in the heart of Portland's art district, is a fine art gallery featuring drawing and painting by local artists such as Rhonda Pearle and Gary Perlmutter.",https://creative-portland-api-dev.s3.amazonaws.com/Screen_Shot_2021_10_01_at_7_38_24_PM_38d25d0b45.png,43.6542905,-70.262639
Portland Art Gallery,Gallery,154 Middle St,ONE OF PORTLAND MAINE'S PREMIER ART GALLERY DESTINATIONS REPRESENTING OVER 60 CONTEMPORARY MAINE ARTISTS. OPEN EVERY DAY FROM 10 AM to 5:30 PM VISIT IN PERSON OR ONLINE,https://creative-portland-api-dev.s3.amazonaws.com/paglogo_5ee1be84ed.jpg,43.6579718,-70.2537535
Portland House of Music,Music Venue,25 Temple St,,https://creative-portland-api-dev.s3.amazonaws.com/Logo_21b84cdb8d.jpg,43.6579445,-70.2567495
Portland Museum of Art,Museum,7 Congress Sq,"The Portland Museum of Art (PMA) is committed to be an open, accessible, inclusive, and welcoming museum for all.",https://creative-portland-api-dev.s3.amazonaws.com/6_16_Payson_Rainbow_credit_Mary_Kearns_The_Eye_of_Henna_and_13_Moons_Tattoo_studio_8885f4b213.jpg,43.654997,-70.262628
Richard Boyd Art Gallery,Gallery,15 Epps St,"Richard Boyd Art Gallery is an owner operated fine arts gallery located in the heart of the village on Peaks Island in Portland, Maine.",https://creative-portland-api-dev.s3.amazonaws.com/Richard_Boyd_Art_Gallery_Exterior_Image_2021_d1a6800799.jpg,43.6563327,-70.1977741
State Theatre,Music Venue,609 Congress St,,https://creative-portland-api-dev.s3.amazonaws.com/BSE_Cstatenew_P1052111_53cd4b024c.jpg,43.6539458,-70.2636703
Sun Tiki Studios,Music Venue,375 Forest Ave,Music venue and rehearsal space.,https://creative-portland-api-dev.s3.amazonaws.com/a_STS_black_transparent_with_text_23163b0d3a.png,43.6647255,-70.2738658
